data,label
train_img_0.jpg,0
train_img_1.jpg,0
train_img_2.jpg,0
train_img_3.jpg,0
train_img_4.jpg,0
train_img_5.jpg,0
train_img_6.jpg,0
train_img_7.jpg,0
train_img_8.jpg,0
train_img_9.jpg,0
train_img_10.jpg,0
train_img_11.jpg,0
train_img_12.jpg,0
train_img_13.jpg,0
train_img_14.jpg,0
train_img_15.jpg,0
train_img_16.jpg,0
train_img_17.jpg,0
train_img_18.jpg,0
train_img_19.jpg,0
train_img_20.jpg,0
train_img_21.jpg,0
train_img_22.jpg,0
train_img_23.jpg,0
train_img_24.jpg,0
train_img_25.jpg,0
train_img_26.jpg,0
train_img_27.jpg,0
train_img_28.jpg,0
train_img_29.jpg,0
train_img_30.jpg,0
train_img_31.jpg,0
train_img_32.jpg,0
train_img_33.jpg,0
train_img_34.jpg,0
train_img_35.jpg,0
train_img_36.jpg,0
train_img_37.jpg,0
train_img_38.jpg,0
train_img_39.jpg,0
train_img_40.jpg,0
train_img_41.jpg,0
train_img_42.jpg,0
train_img_43.jpg,0
train_img_44.jpg,0
train_img_45.jpg,0
train_img_46.jpg,0
train_img_47.jpg,0
train_img_48.jpg,0
train_img_49.jpg,0
train_img_50.jpg,0
train_img_51.jpg,0
train_img_52.jpg,0
train_img_53.jpg,0
train_img_54.jpg,0
train_img_55.jpg,0
train_img_56.jpg,0
train_img_57.jpg,0
train_img_58.jpg,0
train_img_59.jpg,0
train_img_60.jpg,0
train_img_61.jpg,0
train_img_62.jpg,0
train_img_63.jpg,0
train_img_64.jpg,0
train_img_65.jpg,0
train_img_66.jpg,0
train_img_67.jpg,0
train_img_68.jpg,0
train_img_69.jpg,0
train_img_70.jpg,0
train_img_71.jpg,0
train_img_72.jpg,0
train_img_73.jpg,0
train_img_74.jpg,0
train_img_75.jpg,0
train_img_76.jpg,0
train_img_77.jpg,0
train_img_78.jpg,0
train_img_79.jpg,0
train_img_80.jpg,0
train_img_81.jpg,0
train_img_82.jpg,0
train_img_83.jpg,0
train_img_84.jpg,0
train_img_85.jpg,0
train_img_86.jpg,0
train_img_87.jpg,0
train_img_88.jpg,0
train_img_89.jpg,0
train_img_90.jpg,0
train_img_91.jpg,0
train_img_92.jpg,0
train_img_93.jpg,0
train_img_94.jpg,0
train_img_95.jpg,0
train_img_96.jpg,0
train_img_97.jpg,0
train_img_98.jpg,0
train_img_99.jpg,0
train_img_100.jpg,0
train_img_101.jpg,0
train_img_102.jpg,0
train_img_103.jpg,0
train_img_104.jpg,0
train_img_105.jpg,0
train_img_106.jpg,0
train_img_107.jpg,0
train_img_108.jpg,0
train_img_109.jpg,0
train_img_110.jpg,0
train_img_111.jpg,0
train_img_112.jpg,0
train_img_113.jpg,0
train_img_114.jpg,0
train_img_115.jpg,0
train_img_116.jpg,0
train_img_117.jpg,0
train_img_118.jpg,0
train_img_119.jpg,0
train_img_120.jpg,0
train_img_121.jpg,0
train_img_122.jpg,0
train_img_123.jpg,0
train_img_124.jpg,0
train_img_125.jpg,0
train_img_126.jpg,0
train_img_127.jpg,0
train_img_128.jpg,0
train_img_129.jpg,0
train_img_130.jpg,0
train_img_131.jpg,0
train_img_132.jpg,0
train_img_133.jpg,0
